,X,Y
10913506,42.872967,123.20168
10913710,-118.56128,-71.79754
10914904,-86.63402,56.11691
10920049,18.401388,9.2303705
10923655,58.845623,-142.65784
10931772,-69.00395,-59.992226
10933212,124.7211,-51.533382
10934265,33.468967,163.01382
10936920,-70.03917,-132.06317
10944414,11.887373,33.812115
10944415,50.301537,-101.24462
10949055,14.39643,-16.619282
10949057,80.05848,4.920081
10959525,-61.036434,131.13925
10960054,21.048319,39.32403
10974961,126.664406,120.539665
10976949,19.36223,12.908208
10978687,99.94471,4.5905294
10978692,-37.5792,-116.75773
10978708,53.719814,-28.592552
10978709,-49.886105,45.085335
10980029,35.902935,-146.16515
10980034,4.1787987,-97.472565
10980036,142.3269,-56.358315
10982747,35.908474,-140.25975
10982748,76.26574,-130.33931
10982749,-62.01222,-57.472878
10986548,82.00884,146.18791
10988032,1.7102196,-111.77551
10988041,124.13247,-58.96107
10998121,87.71814,-142.10435
10998123,46.05905,-40.12104
11002353,-3.669004,-35.823177
11002354,-79.01225,22.476894
11004117,-90.52283,-103.88623
11004124,95.13814,-56.798183
11005879,5.5936136,-45.435806
11006976,42.532913,-145.70876
11006980,136.85788,-56.391376
11017179,-69.87356,93.92035
11018487,73.27517,-140.74718
11026450,-10.668278,-61.018295
11027238,-56.756603,103.09937
11027916,52.301216,31.32522
11029640,102.01432,-42.476704
11034857,-21.288132,-41.23554
11034859,107.65601,-80.39013
11034863,11.936301,-147.98123
11034866,-127.56665,12.870097
11036273,-56.043682,49.53916
11049665,-165.32178,-15.799551
11049668,145.41606,-69.84887
11050021,-48.752216,121.9957
11050024,-101.43916,-66.182724
11050027,-74.63867,-85.47159
11053229,-36.6437,-11.384642
11053230,-72.58169,-109.31824
11054915,-79.2783,-47.848724
11054920,-126.03734,7.2406273
11058474,78.23559,102.017555
11061337,-21.870186,-65.09962
11062324,-78.093124,17.342545
11063978,-162.54044,2.4305608
11069306,7.5815415,-56.723244
11071493,-5.8366914,-147.11258
11073867,66.99743,-70.52801
11074084,-6.252196,11.319978
11080231,99.15897,-142.73764
11087002,36.950523,-41.027172
11095716,63.698566,-100.037224
11098793,-16.020681,-96.985916
11098795,-78.889755,89.28055
11099454,46.564705,12.840554
11099732,50.15576,11.745124
11099827,27.846918,28.456097
11100155,30.200254,34.234245
11110829,73.56305,48.50191
11110834,-166.4156,41.930737
11112401,122.68592,-69.29107
11113035,-86.11381,31.356424
11113036,-15.452975,-43.802105
11113037,0.5835632,-50.377647
11114477,91.228,-45.261654
11117500,-27.14655,-131.7885
11133304,-58.211266,-38.07179
11133306,39.160667,-64.771095
11133312,84.24832,-9.007794
11133317,39.041283,-46.790684
11133321,130.08871,-96.31131
11133322,144.14767,-69.6712
11133788,-97.09401,12.622717
11133789,28.393969,-146.33171
11133799,86.18655,2.3783853
11134389,-2.0536807,-12.062683
11134528,-41.758854,-59.8899
11135651,116.23737,43.72454
11135652,-26.846684,-47.236908
11136929,-57.902184,-128.34592
11144756,7.462076,-99.34881
11157563,-66.26961,-132.88121
11157564,141.45557,-81.062874
11157567,-71.40991,35.933666
11160520,-136.5485,-70.69928
11160524,143.44998,-78.65308
11160525,143.12032,-99.35101
11162266,-63.58969,-116.30155
11162272,-142.85646,-58.248634
11162278,105.02477,-54.081448
11163281,-44.556557,-20.57913
11163282,14.527672,-163.36171
11163369,77.51441,-77.86773
11163375,-84.00042,27.211555
11167053,-71.4959,-22.32572
11167061,34.817265,-50.896385
11168545,12.805889,-101.49398
11168567,-26.183197,-71.63529
11169872,-67.356926,82.69046
11169874,-115.60066,-64.77641
11169875,67.94006,3.049809
11170305,-83.652435,-43.7599
11170809,27.285608,-40.217644
11172070,-76.97938,86.3527
11172071,-115.4438,100.77678
11172072,37.24098,37.701714
11177419,-53.721905,-60.308563
11182099,47.94947,-40.294933
11189943,77.50687,-65.65651
11192634,50.63727,6.643748
11194410,-107.00209,21.786186
11201097,-137.17894,-53.490795
11208666,110.71446,-72.16393
11209064,-22.03838,2.8732154
11209939,-136.5894,-53.536556
11222456,132.56958,-67.38995
11224550,-60.262646,-109.9276
11229981,98.82363,102.91054
11230093,127.1246,-60.06697
11230094,85.84749,-58.988472
11230097,101.6281,-89.640625
11230098,36.072044,-71.875755
11231095,-108.12626,-125.57636
11231835,102.13503,-5.908913
11232158,57.83621,-23.121326
11232912,-140.79694,-80.852356
11239442,15.243718,142.73923
11239713,149.52493,-62.73663
11239901,66.28629,130.39217
11240106,-26.50107,-47.4866
11240107,22.631927,-33.919407
11240114,-72.67632,-46.362946
11241873,-102.404396,19.326347
11241875,23.506828,-32.647102
11244547,-30.835882,-97.22425
11247643,-127.92764,-97.6361
11247649,62.561012,-83.96164
11247999,119.447044,-61.49407
11248000,-4.991092,151.98878
11248106,6.5595694,17.409868
11257281,-148.9429,66.049866
11257978,-44.12117,-94.797035
11259662,79.494446,78.78189
11264319,-18.667604,-73.44398
11275483,-79.94789,116.33694
11276236,134.01257,74.81307
11278198,62.252518,-30.127083
11284045,-22.271746,-80.179146
11285015,3.7052584,-97.65423
11287133,-39.946915,30.868277
11287136,14.38222,21.922262
11287137,0.7502836,-100.79894
11287379,42.504704,29.039814
11287664,-36.47329,45.379486
11295369,55.328487,-38.205025
11296587,-93.68372,81.12791
11297824,114.43176,-90.3951
11304074,-37.95702,-80.17162
11304076,14.769293,-45.831944
11304080,-121.63196,-106.11762
11304083,-74.71689,49.836205
11305885,-29.035967,151.01611
11305889,-110.983284,-81.08968
11305893,-92.080894,-122.09906
11306631,61.788105,-144.26921
11306644,114.88567,-81.300644
11313034,-160.71275,-21.120783
11313038,35.09239,47.56572
11313298,65.84293,-128.32639
11322979,-41.64919,-54.641933
11322985,30.36279,12.39336
11322986,46.571163,26.602499
11328359,103.44672,44.69377
11335694,-52.68077,-131.19704
11339984,28.966509,-99.54684
11346888,91.18125,3.3815868
11346889,-43.622234,64.18205
11352610,41.040627,44.313347
11352611,-147.0251,-78.627014
11352614,-86.08418,-27.995543
11352616,-44.27609,46.9693
11352621,40.28626,-92.77988
11353732,-36.53909,60.50506
11353734,-164.89049,-10.287085
11369403,-154.51532,-74.513145
11378312,-116.16017,-122.34031
11384897,2.2125008,151.3432
11386470,-128.18996,-81.173615
11387404,-63.33598,-129.89359
11387405,-52.57328,-118.390335
11387406,148.05507,-57.65752
11388925,43.27408,-23.648445
11394724,-24.537565,-91.4047
11395019,-113.99038,95.76339
11410949,-28.410175,45.85206
11410950,12.34022,22.41241
11410952,-127.280266,-85.38952
11422456,-46.65423,59.744858
11426233,-46.347538,-62.27134
11430815,-81.48858,63.711784
11431233,1.9101502,-28.7285
11431234,-72.564156,35.837143
11435941,41.819904,109.478004
11435947,-142.02676,-23.221046
11438601,-5.1180735,-114.08865
11438629,101.12491,53.58981
11440757,75.764656,26.410652
11448368,-22.992432,159.76779
11459760,160.49579,4.0872617
11459880,26.1357,155.87273
11459886,-118.78376,-67.8909
11463481,160.03021,12.010041
11466121,-34.772667,143.10432
11467905,43.480507,-21.85565
11467915,-29.132622,-156.03229
11467919,-26.401745,98.14952
11467923,79.42399,-65.05094
11493699,66.389694,110.17813
11496116,96.74218,51.223698
11496134,167.59897,3.5281966
11500993,-3.224976,-50.61787
11502261,13.154503,-98.71296
11502262,6.1816616,-14.669733
11506530,-76.049065,37.598465
11506531,-103.04237,8.763812
11506538,-30.580225,-19.596163
11506539,-56.99247,-32.765903
11506547,-25.660318,-78.09156
11506646,27.88018,10.054332
11506651,-76.162674,-37.453407
11506654,-109.790855,-116.08413
11506655,-155.41205,29.123743
11506664,-2.555944,-162.74428
11515754,161.91032,37.23179
11516443,-35.337124,-73.68414
11516444,-134.98087,24.89702
11522264,42.32903,117.54499
11522575,-155.27606,74.18448
11525320,-136.05707,49.83152
11525326,17.79203,-54.2173
11525327,-78.28342,-60.92978
11525336,90.521416,3.3434234
11525339,-137.43803,-19.631353
11527554,-158.11836,-63.562458
11532726,126.155045,10.827782
11532885,93.04623,-140.49323
11532888,-55.59364,-110.55212
11532889,-111.07936,-84.91493
11532891,164.11748,8.771441
11535686,46.273876,17.985023
11545466,-112.52408,76.77984
11545724,155.4608,59.065212
11549616,-3.709991,-66.89153
11549617,40.810024,-143.61833
11549618,-79.28117,43.084175
11549619,71.24152,-37.173237
11549754,55.198395,-6.435947
11553288,92.742424,-149.85683
11553776,5.4750013,17.770117
11554517,-127.729515,-8.651343
11554801,-54.289135,-138.69792
11554806,79.008995,2.035927
11556898,114.643135,-60.906372
11559855,-2.8511047,-40.66102
11559958,-93.299644,17.242298
11561923,22.50583,-54.000607
11564326,41.19112,-89.18684
11567063,-90.605545,-64.56479
11571223,-18.548706,-37.525993
11571224,17.871872,47.425426
11573015,-30.335508,142.46873
