PMID,MODALITY,MODALITY_CATEGORY,AGE_MIN,AGE_MAX,AGE_MEAN,AGE_SD,N_FEMALE,N_MALE,N
22066584,,,,,,,,,
29674271,,,,,,,,,
25131690,,,,,,,,,
23482624,,,,,,,,,
12177449,,,,,,,,,
29247666,,,,,,,,,
16339445,,,,,,,,,
19423079,,,,,,,,,
28321186,,,,,,,,,
8774879,,,,,,,,,
19480987,,,,,,,,,
28808618,,,,,,,,,
22305924,,,,,,,,,
29306056,,,,,,,,,
26079805,,,,,,,,,
17094117,,,,,,,,,
24005284,,,,,,,,,
28284155,,,,,,,,,
17525980,,,,,,,,,
19501072,,,,,,,,,
24513500,,,,,,,,,
17601749,,,,,,,,,
25278250,,,,,,,,,
27233825,,,,,,,,,
15705612,,,,,,,,,
25360090,,,,,,,,,
11733725,,,,,,,,,
25555264,,,,,,,,,
15808982,,,,,,,,,
27239046,,,,,,,,,
20711448,,,,,,,,,
22659025,,,,,,,,,
14568503,,,,,,,,,
29519851,,,,,,,,,
20096269,,,,,,,,,
26418396,,,,,,,,,
21881566,,,,,,,,,
25290886,,,,,,,,,
17027928,,,,,,,,,
25282329,,,,,,,,,
29053874,,,,,,,,,
27991592,,,,,,,,,
28900267,,,,,,,,,
23063451,,,,,,,,,
26231515,,,,,,,,,
29502874,,,,,,,,,
16725214,,,,,,,,,
20888872,,,,,,,,,
19904802,,,,,,,,,
24456399,,,,,,,,,
20083798,,,,,,,,,
24240601,,,,,,,,,
16263311,,,,,,,,,
23684875,,,,,,,,,
27345375,,,,,,,,,
18374603,,,,,,,,,
26873519,,,,,,,,,
23685776,,,,,,,,,
19796632,,,,,,,,,
16516497,,,,,,,,,
28477862,,,,,,,,,
20398772,,,,,,,,,
22766165,,,,,,,,,
17604009,,,,,,,,,
20598238,,,,,,,,,
23454071,,,,,,,,,
15342438,,,,,,,,,
11027238,,,,,,,,,
23274842,,,,,,,,,
25673851,,,,,,,,,
1929214,,,,,,,,,
21741484,,,,,,,,,
21590316,,,,,,,,,
16140346,,,,,,,,,
21183457,,,,,,,,,
20162606,,,,,,,,,
19172644,,,,,,,,,
25811453,,,,,,,,,
23773952,,,,,,,,,
23097273,,,,,,,,,
21211567,,,,,,,,,
17129190,,,,,,,,,
18592230,,,,,,,,,
28836282,,,,,,,,,
16458267,,,,,,,,,
22941501,,,,,,,,,
28551555,,,,,,,,,
18713781,,,,,,,,,
18006337,,,,,,,,,
22178355,,,,,,,,,
27329401,,,,,,,,,
16460961,,,,,,,,,
25863813,,,,,,,,,
25865600,,,,,,,,,
24222712,,,,,,,,,
24097059,,,,,,,,,
26628642,,,,,,,,,
20534459,,,,,,,,,
21320516,,,,,,,,,
24185022,,,,,,,,,
22369996,,,,,,,,,
27709512,,,,,,,,,
26679527,,,,,,,,,
24268546,,,,,,,,,
19465137,,,,,,,,,
26123297,,,,,,,,,
22743194,,,,,,,,,
28802184,,,,,,,,,
9354332,,,,,,,,,
28580585,,,,,,,,,
24315034,,,,,,,,,
28868791,,,,,,,,,
18557921,,,,,,,,,
26787138,,,,,,,,,
23880958,,,,,,,,,
23425890,,,,,,,,,
19453626,,,,,,,,,
25797835,,,,,,,,,
26459074,,,,,,,,,
27198485,,,,,,,,,
18702576,,,,,,,,,
18165281,,,,,,,,,
27391083,,,,,,,,,
16480694,,,,,,,,,
23874482,,,,,,,,,
19393261,,,,,,,,,
19453835,,,,,,,,,
27444729,,,,,,,,,
12960369,,,,,,,,,
22403525,,,,,,,,,
27647282,,,,,,,,,
22363462,,,,,,,,,
18510448,,,,,,,,,
26059463,,,,,,,,,
26834606,,,,,,,,,
24185018,,,,,,,,,
11133321,,,,,,,,,
18805460,,,,,,,,,
16272166,,,,,,,,,
15917482,,,,,,,,,
28945307,,,,,,,,,
15668726,,,,,,,,,
21596771,,,,,,,,,
19302163,,,,,,,,,
11506664,,,,,,,,,
25972116,,,,,,,,,
22306089,,,,,,,,,
16337110,,,,,,,,,
19896873,,,,,,,,,
22709820,,,,,,,,,
21385751,,,,,,,,,
